hours_studied,attendance_pct,previous_score,sleep_hours,passed
1.7,56,78,5.8,0
8.0,81,66,7.9,1
4.9,79,57,5.2,0
7.5,66,56,5.6,0
9.8,92,47,4.4,1
5.8,96,94,8.1,1
5.5,54,93,6.5,1
1.6,96,44,7.1,0
3.4,88,86,5.3,0
5.5,63,43,7.4,0
7.1,52,88,4.2,1
8.2,62,63,5.2,1
4.4,74,86,6.4,1
1.6,77,68,8.7,0
3.6,66,84,6.7,0
9.2,96,76,5.7,1
2.9,55,71,8.7,0
5.1,90,88,6.1,1
9.4,79,80,8.5,1
1.2,59,61,4.3,0
6.4,94,40,8.7,1
9.6,89,68,7.4,1
3.1,64,47,5.3,1
5.9,56,83,8.6,1
9.2,52,66,4.8,1
2.2,87,45,5.6,0
5.7,72,52,4.7,1
7.8,99,41,8.3,1
7.0,96,61,8.3,1
5.2,59,65,4.9,0
2.8,85,92,7.7,1
5.4,65,89,5.6,0
4.4,70,65,5.5,0
5.3,82,94,7.1,1
4.3,85,61,7.1,0
8.5,71,78,6.0,1
7.9,56,83,4.7,1
3.8,70,77,5.9,0
6.2,50,65,5.6,0
3.5,70,44,6.9,0
5.1,83,69,7.5,1
4.2,71,62,8.7,0
6.9,52,72,7.7,1
4.3,61,62,7.9,0
5.1,97,74,5.2,0
7.5,61,50,7.5,0
4.7,86,53,4.3,0
9.2,58,75,6.6,1
2.6,95,73,8.7,0
7.7,93,78,4.6,1
4.8,57,79,8.0,1
4.8,57,88,4.8,0
6.7,71,56,4.3,0
5.7,69,44,8.1,0
4.7,89,63,8.3,0
1.0,72,40,7.2,0
1.8,95,58,4.9,0
7.4,100,49,7.9,1
5.7,85,46,8.3,0
7.3,67,57,8.0,0
9.6,83,42,7.3,1
7.1,58,54,8.8,0
1.5,65,86,5.8,0
3.8,60,42,4.5,1
6.3,68,71,5.9,1
3.1,77,48,8.6,0
9.7,67,53,8.9,1
9.5,76,68,4.3,1
8.6,89,81,4.4,1
5.3,50,66,6.8,0
8.6,58,79,5.2,1
2.2,63,58,8.7,0
3.8,74,60,7.0,0
5.2,62,63,7.1,1
7.7,99,95,6.1,1
5.4,84,68,6.8,1
2.2,53,68,4.7,0
4.1,82,55,4.9,0
3.9,76,85,7.5,1
3.7,67,73,8.1,0
2.5,61,40,7.2,0
4.7,51,41,4.2,0
5.0,87,64,7.7,1
8.0,87,79,6.1,1
8.2,98,76,5.5,1
5.7,59,82,4.0,1
5.1,77,87,4.6,0
8.0,69,62,4.3,1
9.0,93,83,7.0,1
7.1,100,41,6.0,1
8.2,70,60,5.7,1
9.5,52,48,6.6,1
1.4,97,63,6.2,0
8.9,58,86,6.3,1
3.5,70,91,6.2,0
5.3,98,67,6.9,0
8.2,60,75,6.7,1
7.5,82,54,9.0,1
2.3,95,62,5.9,0
6.9,52,92,6.7,0
1.6,72,65,8.1,0
4.2,53,93,4.6,0
8.3,91,95,5.5,1
4.8,78,65,5.9,0
6.4,65,86,6.2,1
7.6,95,70,6.8,1
8.4,88,82,9.0,1
7.8,59,52,6.4,0
1.1,91,86,6.3,0
4.8,91,85,8.2,1
5.2,86,63,7.8,1
1.5,90,78,6.0,0
5.9,62,64,8.6,0
6.5,84,62,5.3,1
8.5,86,67,8.6,1
9.5,72,42,7.7,1
2.2,55,90,7.6,0
3.1,65,58,8.1,0
6.9,53,83,6.5,1
2.2,87,77,5.4,0
3.0,100,57,6.8,0
6.2,72,92,8.7,1
2.5,96,57,7.9,0
8.0,64,44,4.3,1
8.7,86,65,5.9,1
1.3,69,69,4.6,0
5.8,100,51,7.6,1
8.2,94,77,7.3,1
9.8,87,71,8.0,1
3.5,96,43,4.3,0
2.5,73,70,7.3,0
8.9,55,53,4.9,1
9.2,74,45,7.3,1
2.8,61,79,8.9,0
5.0,76,40,4.6,0
7.5,84,82,6.8,1
8.6,66,84,8.9,1
2.5,91,55,5.9,0
7.0,69,93,7.5,1
8.3,84,76,5.7,1
5.9,100,84,6.3,1
2.5,60,53,8.7,0
1.3,54,72,4.4,0
3.5,53,92,6.3,0
8.3,54,95,4.1,1
1.4,90,72,6.7,0
1.1,57,94,7.6,0
4.3,92,51,8.0,0
1.6,98,83,5.7,1
2.3,52,41,7.6,0
1.2,89,72,8.2,1
5.7,60,79,8.6,0
7.3,58,46,5.5,0
4.8,79,88,8.1,1
2.2,54,43,5.6,0
4.0,50,78,4.2,0
6.3,99,95,8.0,1
9.5,73,70,4.5,1
9.9,70,44,5.3,1
3.2,79,67,4.2,0
1.1,81,80,7.0,0
8.5,98,70,4.6,1
9.3,99,66,6.1,1
5.1,98,86,5.2,1
7.9,92,95,7.3,1
8.8,72,81,6.1,1
6.5,80,94,8.5,1
8.9,100,91,5.3,1
1.2,50,66,6.9,0
3.4,84,67,4.5,0
3.5,70,65,7.1,0
2.1,65,42,5.8,0
9.2,70,61,8.3,1
1.3,67,84,5.6,0
7.1,60,60,8.2,1
1.6,50,50,8.7,0
4.2,50,89,7.5,1
4.8,84,73,6.4,0
2.6,85,77,5.3,0
5.7,78,84,4.3,1
5.8,91,89,4.4,1
3.9,85,58,8.9,0
7.6,71,85,6.1,1
2.4,88,57,6.5,0
2.7,95,95,7.0,0
4.2,74,86,6.6,0
4.4,72,57,7.9,0
2.9,73,74,7.8,0
9.3,78,48,4.7,1
8.5,61,94,5.4,1
2.0,61,53,4.8,0
4.3,72,87,4.7,0
3.1,78,45,7.2,0
5.1,86,62,5.1,0
3.5,52,80,8.2,0
5.5,79,91,8.4,1
9.3,89,58,5.4,1
4.4,91,41,7.8,1
6.9,92,85,5.3,1
6.4,58,93,4.2,0
