hours_studied,attendance_pct,previous_score,sleep_hours,grade
1.4,56,79,4.1,D
3.6,68,84,8.0,B
7.5,75,49,6.2,B
1.2,61,56,7.2,D
2.9,75,53,6.7,D
1.5,100,88,5.8,C
3.7,100,95,4.0,B
7.0,94,61,7.2,B
3.8,63,75,8.6,C
6.3,55,70,8.6,C
1.6,72,51,6.3,D
8.8,90,81,7.6,B
2.2,64,82,7.3,C
2.6,85,90,6.6,C
5.5,93,57,4.4,B
8.8,51,40,8.5,B
7.8,98,74,7.5,A
9.7,63,69,7.9,A
7.8,95,46,4.8,B
4.5,50,87,5.3,C
4.7,76,62,5.7,B
7.4,90,89,5.6,B
3.4,71,53,4.0,D
8.7,68,40,7.0,A
9.2,66,40,8.1,B
7.8,84,54,4.5,C
5.7,66,77,8.8,C
2.5,54,78,6.0,D
3.7,69,62,6.9,C
3.6,79,47,6.9,D
3.9,70,49,8.0,D
5.1,90,71,8.4,C
5.9,88,44,4.4,B
3.0,85,74,8.1,C
8.2,89,70,6.0,A
7.5,63,66,8.8,B
8.6,94,92,6.1,A
3.4,80,58,7.6,D
6.5,82,82,5.1,A
6.9,95,69,6.2,A
4.5,68,80,7.0,C
4.7,87,89,5.1,A
8.3,56,50,7.5,C
6.4,52,60,7.7,B
9.1,69,59,5.4,A
5.4,100,55,7.6,A
8.5,81,41,6.8,A
8.7,96,88,7.4,A
8.1,84,73,6.7,B
9.0,78,63,4.1,A
7.3,78,54,8.5,B
5.1,62,52,8.2,C
3.8,63,58,5.3,D
8.4,66,61,5.1,B
2.3,85,82,4.6,B
4.6,65,74,7.9,C
3.1,97,54,8.3,D
6.3,65,87,8.2,A
9.0,66,77,7.1,A
3.9,99,81,5.8,B
8.2,77,76,8.9,A
8.2,62,42,7.4,C
7.0,90,52,6.3,B
3.2,83,79,7.2,B
8.4,89,71,8.1,A
5.2,56,81,7.3,C
7.7,63,86,8.3,A
5.1,52,68,4.7,C
8.8,58,55,5.2,B
7.3,73,42,4.0,C
2.5,72,91,8.9,C
2.6,83,84,7.0,C
8.6,100,73,5.3,A
4.3,59,64,4.7,C
4.4,69,74,8.0,B
1.4,82,54,6.9,D
6.7,93,68,4.0,B
8.2,50,74,4.7,C
9.1,92,88,8.4,A
2.8,54,85,6.8,C
8.7,62,44,6.0,B
2.6,58,85,8.9,C
4.4,64,82,7.5,C
4.4,95,74,8.1,C
6.1,91,65,7.2,B
5.6,98,45,7.1,C
5.8,95,95,4.0,C
5.7,70,53,7.7,D
9.4,69,58,8.0,B
3.2,70,89,8.0,C
2.9,82,70,5.9,C
8.3,68,86,8.2,A
3.7,70,55,8.4,C
7.1,88,89,6.2,A
9.3,77,65,5.7,A
1.6,72,59,6.0,D
8.0,82,53,7.6,A
1.3,92,48,5.0,D
5.6,60,85,6.2,B
4.9,52,53,8.9,C
7.2,74,47,4.5,B
8.0,98,78,6.5,A
1.4,96,91,4.2,C
1.7,83,57,6.5,D
6.4,75,93,4.3,B
7.4,69,91,4.2,A
2.4,73,80,6.5,D
6.5,87,86,8.5,B
2.4,94,82,7.7,B
5.2,97,95,8.2,A
9.8,86,62,4.1,A
8.6,90,50,6.0,B
7.2,97,42,8.1,A
5.2,62,45,5.1,C
9.3,51,45,5.0,A
7.6,83,43,7.6,B
1.0,100,48,8.1,D
7.1,64,56,4.8,B
6.2,61,41,8.5,D
5.3,76,89,6.7,B
4.9,60,43,8.1,B
4.3,58,64,6.7,C
3.6,78,82,7.9,C
7.9,98,94,4.9,A
7.4,90,44,4.8,C
2.5,55,42,8.5,D
7.8,62,95,4.6,B
8.1,70,51,5.9,B
7.6,95,59,6.5,A
3.1,67,78,6.2,C
4.0,58,51,8.9,C
3.5,95,92,6.7,B
9.1,78,77,8.7,A
9.3,61,62,4.9,A
6.6,57,75,7.0,B
2.3,90,78,8.2,C
2.2,52,93,4.6,D
4.3,52,75,5.9,D
2.0,74,71,7.6,C
5.6,58,50,4.5,B
3.3,98,77,6.0,C
2.0,89,61,5.9,D
2.7,59,91,8.1,C
3.9,66,68,6.4,D
7.0,70,73,8.7,A
3.8,74,54,6.7,D
5.7,71,57,4.8,C
4.0,86,72,6.0,C
1.8,60,85,7.9,D
1.8,66,41,4.9,D
3.3,60,52,6.3,C
3.0,90,67,4.2,C
1.6,62,93,8.6,D
8.0,59,65,4.2,B
5.5,65,88,7.5,B
3.5,86,57,6.6,C
8.3,60,45,8.3,B
4.0,59,58,4.7,D
2.8,79,89,5.9,D
4.1,59,85,6.9,C
7.1,83,47,7.2,C
3.5,73,56,5.2,D
3.4,87,73,8.8,B
8.9,83,95,5.9,A
5.9,51,54,8.0,D
7.7,62,41,7.3,C
9.1,97,91,6.3,A
3.5,88,44,6.0,D
5.8,73,52,6.7,C
2.2,100,42,6.1,D
9.7,54,73,4.1,B
8.3,97,61,6.6,A
6.9,52,81,8.7,A
2.8,99,41,6.4,C
9.7,86,47,4.5,A
1.3,94,71,5.0,D
4.8,77,44,5.2,D
9.5,69,60,6.6,A
3.9,54,56,8.2,D
8.0,60,62,4.6,B
9.8,93,56,8.1,A
7.3,83,72,7.2,A
3.7,84,44,7.5,C
9.7,86,66,4.4,A
4.6,64,90,7.3,B
9.6,64,71,5.9,A
2.2,78,47,7.3,D
9.4,91,57,4.1,A
7.8,95,82,5.9,A
1.4,68,90,5.0,D
7.0,53,62,7.9,C
3.0,65,54,8.8,C
5.7,82,50,8.9,B
5.6,64,65,7.1,C
2.0,75,65,5.0,D
8.3,90,57,7.0,A
9.7,63,79,4.7,A
6.3,69,60,7.5,B
4.6,74,43,8.8,D
6.9,82,70,5.7,B
4.6,56,87,6.2,B
6.4,93,91,6.4,B
4.9,77,54,6.2,C
2.4,67,60,8.0,D
8.7,100,68,7.6,A
4.2,52,54,5.8,D
1.9,91,69,6.6,D
