hours_studied,attendance_pct,previous_score,sleep_hours,final_score
4.4,69,84,5.7,72.1
9.6,64,89,4.6,100.0
7.6,91,57,8.6,92.6
6.4,68,46,8.4,75.1
2.4,64,53,5.3,48.5
2.4,77,63,7.3,55.0
1.5,57,85,8.1,57.6
8.8,90,87,6.8,100.0
6.4,54,40,6.6,68.3
7.4,99,68,5.2,85.0
1.2,89,63,4.5,54.6
9.7,60,52,8.5,93.4
8.5,50,47,8.5,78.3
2.9,91,59,7.2,66.4
2.6,85,92,5.7,70.6
2.7,86,58,5.7,56.4
3.7,89,69,7.6,74.3
5.7,54,79,8.5,80.7
4.9,68,60,8.4,76.4
3.6,56,93,7.9,76.0
6.5,93,93,7.2,88.9
2.3,81,54,4.4,50.8
3.6,67,67,4.8,64.1
4.3,53,57,8.5,66.7
5.1,66,56,7.0,71.4
8.1,66,42,4.0,91.0
2.8,86,74,4.5,66.7
5.6,82,68,7.3,84.4
6.3,94,43,4.0,77.7
1.4,74,55,4.8,51.8
6.5,56,90,6.7,82.3
2.5,86,53,7.5,64.2
1.6,88,48,7.3,52.3
9.5,78,67,5.1,93.8
9.7,89,94,7.6,100.0
8.3,75,53,5.2,84.3
3.7,76,77,5.6,78.3
1.9,71,82,7.7,55.9
7.2,51,53,7.2,78.2
5.0,55,80,8.2,68.6
2.1,52,60,7.3,50.6
5.5,82,75,6.8,85.1
1.3,66,75,4.5,52.5
9.2,75,69,5.8,89.8
3.3,95,45,5.3,58.8
7.0,62,86,5.2,86.8
3.8,71,58,8.9,64.6
5.7,88,50,6.0,75.4
5.9,61,42,8.5,70.3
2.7,54,72,7.2,56.8
9.7,64,77,8.0,100.0
8.0,58,41,6.5,79.1
9.5,96,68,6.9,94.1
9.1,90,52,6.5,94.1
6.4,82,75,5.0,79.9
9.3,94,50,7.6,99.8
1.8,90,78,5.4,59.8
2.8,59,61,4.1,52.7
1.4,95,92,7.2,71.2
3.9,77,48,4.9,64.0
